Zip;City;latitude;longitude;Country
25650;ville du pont;46.999873398;6.498147193;France
25640;villers grelot;47.361512085;6.235167025;France
25310;villars les blamont;47.368383721;6.871414913;France
25240;les villedieu;46.713906258;6.26583065;France
25170;villers buzon;47.228558434;5.852186748;France
25510;villers la combe;47.240809828;6.473842387;France
25270;villers sous chalamont;46.901588322;6.045328224;France
25420;voujeaucourt;47.473552905;6.782505604;France
2860;bouconville vauclair;49.460193485;3.756684634;France
2400;bouresches;49.067056293;3.316703204;France
2240;brissy hamegicourt;49.742857871;3.399923608;France
2810;brumetz;49.110351585;3.153350725;France
2360;brunehamel;49.771382057;4.186261479;France
2880;bucy le long;49.387973822;3.398519722;France
2300;caillouel crepigny;49.617755672;3.121707969;France
2300;camelin;49.52049848;3.127624347;France
2860;cerny en laonnois;49.450196586;3.679121433;France
2000;chambry;49.598625529;3.671806573;France
2340;chaourse;49.70058224;3.985961293;France
2800;charmes;49.650915124;3.384799677;France
2200;chaudun;49.315257363;3.252722944;France
2300;chauny;49.619538899;3.219139283;France
2810;chezy en orxois;49.126870891;3.168015889;France
2000;chivy les etouvelles;49.532848303;3.585053697;France
2220;ciry salsogne;49.367262408;3.467612315;France
2440;clastres;49.749158544;3.230539083;France
2860;montchalons;49.513778836;3.727459479;France
2860;monthenault;49.489769799;3.655508134;France
2810;montigny l allier;49.122370638;3.107996308;France
2290;montigny lengrain;49.372578828;3.099063795;France
2220;mont notre dame;49.292397628;3.582216807;France
2360;mont st jean;49.792702607;4.210227315;France
2210;muret et crouttes;49.278626123;3.434628893;France
2400;nesles la montagne;48.999750332;3.44605178;France
2190;neufchatel sur aisne;49.436580849;4.024031385;France
2170;le nouvion en thierache;50.008566787;3.809358313;France
2300;ognes;49.614542455;3.191108052;France
2190;orainville;49.375881407;4.016154951;France
2290;osly courtil;49.399369702;3.237910386;France
2860;pancy courtecon;49.46035579;3.649818372;France
2260;papleux;50.017614944;3.880061553;France
2210;parcy et tigny;49.270195121;3.329041936;France
2840;parfondru;49.538438581;3.703323738;France
2330;pargny la dhuys;48.954292173;3.563228277;France
2270;pargny les bois;49.73198721;3.617572589;France
2240;parpeville;49.794619132;3.564481061;France
2540;viffort;48.957893106;3.469516322;France
2130;villeneuve sur fere;49.170863583;3.4754559240000003;France
2590;villers st christophe;49.779716306;3.09133152;France
2500;wimy;49.948014627;3.997490476;France
5800;st firmin;44.793514305;6.025693765;France
2250;bosmont sur serre;49.739164547;3.866951038;France
2160;bouffignereux;49.378528828;3.846143285;France
2300;bourguignon sous coucy;49.543351686;3.154672717;France
2320;brancourt en laonnois;49.516508164;3.412722641;France
2000;braye en laonnois;49.437398745;3.609863828;France
2220;brenelle;49.368284047;3.54436136;France
2870;brie;49.597375488;3.473167317;France
2860;bruyeres et montberault;49.524775786;3.669533869;France
2300;camelin;49.52049848;3.127624347;France
2680;castres;49.800742628;3.253372217;France
2000;chaillevois;49.508011773;3.522228189;France
7190;albon d ardeche;44.814986241;4.42533053;France
2370;chassemy;49.377956997;3.5022180460000003;France
2400;chateau thierry;49.056425662;3.381541175;France
7100;annonay;45.24633989;4.651027131;France
2270;chatillon les sons;49.761912822;3.702869899;France
2240;chatillon sur oise;49.793931936;3.416909399;France
2220;chery chartreuve;49.255681433;3.604732022;France
7140;les assions;44.425050124;4.184546969;France
2000;chery les pouilly;49.648935895;3.593859599;France
7190;beauvene;44.869254781;4.511902169;France
2120;chigny;49.930254202;3.776579181;France
2250;cilly;49.749214967;3.840427798;France
7150;bessas;44.337648804;4.298027723;France
7100;boulieu les annonay;45.267247358;4.64531343;France
7000;freyssenet;44.688564128;4.546249145;France
7140;gravieres;44.421176818;4.071956856;France
7110;laurac en vivarais;44.503712977;4.288051747;France
7140;malarce sur la thines;44.47842111;4.050331709;France
7190;marcols les eaux;44.805857591;4.389352756;France
7110;montreal;44.518242755;4.294294724;France
7160;belsentes;44.915172091;4.501873879;France
7110;prunet;44.595386971;4.254443305;France
7110;rocher;44.580743053;4.279673268;France
7120;st alban auriolles;44.434362261;4.294617257;France
7120;st alban auriolles;44.434362261;4.294617257;France
7190;st etienne de serre;44.801469013;4.523351508;France
7190;st genest lachamp;44.844258846;4.424403779;France
7190;st maurice en chalencon;44.854713177;4.582378545;France
7130;st peray;44.940900268;4.824380067;France
7130;st romain de lerps;44.976021002;4.796591138;France
7120;sampzon;44.412648109;4.331865524;France
7110;sanilhac;44.532932661;4.231771763;France
7130;soyons;44.891795842;4.851099731;France
2110;montbrehain;49.964774581;3.356345656;France
2440;montescourt lizerolles;49.735843297;3.261878148;France
7150;vallon pont d arc;44.400362094;4.405442855;France
2330;montigny les conde;48.983232726;3.566517221;France
7140;les vans;44.392227568;4.114704212;France
2250;montigny sous marle;49.741394451;3.804042798;France
2340;montloue;49.667813906;4.062955359;France
2400;mont st pere;49.081931195;3.476999705;France
7170;villeneuve de berg;44.549110618;4.503596816;France
2600;mortefontaine;49.336522127;3.081227765;France
